            Interval              Radial            Vertical
                   0                   0            -1.09051
                   0                   0            -1.09051
                   1           0.0314108              -1.091
                   2           0.0627905            -1.09248
                   3           0.0941083            -1.09494
                   4            0.125333            -1.09839
                   5            0.156434            -1.10282
                   6            0.187381            -1.10822
                   7            0.218143            -1.11459
                   8             0.24869            -1.12192
                   9            0.278991            -1.13021
                  10            0.309017            -1.13945
                  11            0.338738            -1.14962
                  12            0.368125            -1.16073
                  13            0.397148            -1.17275
                  14            0.425779            -1.18568
                  15             0.45399             -1.1995
                  16            0.481754             -1.2142
                  17            0.509041            -1.22976
                  18            0.535827            -1.24618
                  19            0.562083            -1.26342
                  20            0.587785            -1.28149
                  21            0.612907            -1.30035
                  22            0.637424            -1.31999
                  23            0.661312            -1.34039
                  24            0.684547            -1.36154
                  25            0.707107             -1.3834
                  26            0.728969            -1.40596
                  27            0.750111            -1.42919
                  28            0.770513            -1.45308
                  29            0.790155             -1.4776
                  30            0.809017            -1.50272
                  31            0.827081            -1.52842
                  32            0.844328            -1.55468
                  33            0.860742            -1.58146
                  34            0.876307            -1.60875
                  35            0.891007            -1.63651
                  36            0.904827            -1.66473
                  37            0.917755            -1.69336
                  38            0.929776            -1.72238
                  39            0.940881            -1.75177
                  40            0.951057            -1.78149
                  41            0.960294            -1.81151
                  42            0.968583            -1.84182
                  43            0.975917            -1.87236
                  44            0.982287            -1.90312
                  45            0.987688            -1.93407
                  46            0.992115            -1.96517
                  47            0.995562             -1.9964
                  48            0.998027            -2.02771
                  49            0.999507            -2.05909
                  50                   1            -2.09051
                  51            0.999507            -2.12192
                  52            0.998027             -2.1533
                  53            0.995562            -2.18461
                  54            0.992115            -2.21584
                  55            0.987688            -2.24694
                  56            0.982287            -2.27789
                  57            0.975917            -2.30865
                  58            0.968583             -2.3392
                  59            0.960294             -2.3695
                  60            0.951057            -2.39952
                  61            0.940881            -2.42924
                  62            0.929776            -2.45863
                  63            0.917755            -2.48765
                  64            0.904827            -2.51628
                  65            0.891007             -2.5445
                  66            0.876307            -2.57226
                  67            0.860742            -2.59955
                  68            0.844328            -2.62633
                  69            0.827081            -2.65259
                  70            0.809017            -2.67829
                  71            0.790155            -2.70341
                  72            0.770513            -2.72793
                  73            0.750111            -2.75182
                  74            0.728969            -2.77505
                  75            0.707107            -2.79761
                  76            0.684547            -2.81947
                  77            0.661312            -2.84062
                  78            0.637424            -2.86102
                  79            0.612907            -2.88066
                  80            0.587785            -2.89952
                  81            0.562083            -2.91759
                  82            0.535827            -2.93483
                  83            0.509041            -2.95125
                  84            0.481754            -2.96681
                  85             0.45399            -2.98151
                  86            0.425779            -2.99533
                  87            0.397148            -3.00826
                  88            0.368125            -3.02028
                  89            0.338738            -3.03139
                  90            0.309017            -3.04156
                  91            0.278991             -3.0508
                  92             0.24869            -3.05909
                  93            0.218143            -3.06642
                  94            0.187381            -3.07279
                  95            0.156434            -3.07819
                  96            0.125333            -3.08262
                  97           0.0941083            -3.08607
                  98           0.0627905            -3.08853
                  99                   0            -3.09051
