           iteration                time              height            velocity
                   0                   0                   3           -0.997705
                   1                0.01             2.99002           -0.997457
                   2                0.02             2.98005            -0.99721
                   3                0.03             2.97008           -0.996963
                   4                0.04             2.96011           -0.996715
                   5                0.05             2.95014           -0.996468
                   6                0.06             2.94017            -0.99622
                   7                0.07             2.93021           -0.995972
                   8                0.08             2.92025           -0.995725
                   9                0.09              2.9103           -0.995477
                  10                 0.1             2.90034           -0.995229
                  11                0.11             2.89039           -0.994981
                  12                0.12             2.88044           -0.994733
                  13                0.13             2.87049           -0.994484
                  14                0.14             2.86055           -0.994236
                  15                0.15              2.8506           -0.993988
                  16                0.16             2.84066           -0.993739
                  17                0.17             2.83073            -0.99349
                  18                0.18             2.82079           -0.993242
                  19                0.19             2.81086           -0.992993
                  20                 0.2             2.80093           -0.992744
                  21                0.21               2.791           -0.992495
                  22                0.22             2.78108           -0.992246
                  23                0.23             2.77115           -0.991997
                  24                0.24             2.76123           -0.991748
                  25                0.25             2.75132           -0.991498
                  26                0.26              2.7414           -0.991249
                  27                0.27             2.73149              -0.991
                  28                0.28             2.72158            -0.99075
                  29                0.29             2.71167             -0.9905
                  30                 0.3             2.70177            -0.99025
                  31                0.31             2.69186               -0.99
                  32                0.32             2.68196            -0.98975
                  33                0.33             2.67207             -0.9895
                  34                0.34             2.66217            -0.98925
                  35                0.35             2.65228              -0.989
                  36                0.36             2.64239           -0.988749
                  37                0.37              2.6325           -0.988499
                  38                0.38             2.62262           -0.988248
                  39                0.39             2.61273           -0.987998
                  40                 0.4             2.60286           -0.987747
                  41                0.41             2.59298           -0.987496
                  42                0.42              2.5831           -0.987245
                  43                0.43             2.57323           -0.986994
                  44                0.44             2.56336           -0.986743
                  45                0.45             2.55349           -0.986491
                  46                0.46             2.54363            -0.98624
                  47                0.47             2.53377           -0.985988
                  48                0.48             2.52391           -0.985737
                  49                0.49             2.51405           -0.985485
                  50                 0.5             2.50419           -0.985233
                  51                0.51             2.49434           -0.984981
                  52                0.52             2.48449           -0.984729
                  53                0.53             2.47464           -0.984477
                  54                0.54              2.4648           -0.984224
                  55                0.55             2.45496           -0.983972
                  56                0.56             2.44512           -0.983719
                  57                0.57             2.43528           -0.983467
                  58                0.58             2.42545           -0.983214
                  59                0.59             2.41561           -0.982961
                  60                 0.6             2.40578           -0.982708
                  61                0.61             2.39596           -0.982455
                  62                0.62             2.38613           -0.982202
                  63                0.63             2.37631           -0.981949
                  64                0.64             2.36649           -0.981695
                  65                0.65             2.35667           -0.981442
                  66                0.66             2.34686           -0.981188
                  67                0.67             2.33705           -0.980934
                  68                0.68             2.32724            -0.98068
                  69                0.69             2.31743           -0.980426
                  70                 0.7             2.30763           -0.980172
                  71                0.71             2.29783           -0.979918
                  72                0.72             2.28803           -0.979664
                  73                0.73             2.27823           -0.979409
                  74                0.74             2.26844           -0.979154
                  75                0.75             2.25864             -0.9789
                  76                0.76             2.24885           -0.978645
                  77                0.77             2.23907            -0.97839
                  78                0.78             2.22928           -0.978135
                  79                0.79              2.2195            -0.97788
                  80                 0.8             2.20972           -0.977624
                  81                0.81             2.19995           -0.977369
                  82                0.82             2.19017           -0.977113
                  83                0.83              2.1804           -0.976858
                  84                0.84             2.17063           -0.976602
                  85                0.85             2.16087           -0.976346
                  86                0.86             2.15111            -0.97609
                  87                0.87             2.14134           -0.975834
                  88                0.88             2.13159           -0.975577
                  89                0.89             2.12183           -0.975321
                  90                 0.9             2.11208           -0.975064
                  91                0.91             2.10233           -0.974808
                  92                0.92             2.09258           -0.974551
                  93                0.93             2.08283           -0.974294
                  94                0.94             2.07309           -0.974037
                  95                0.95             2.06335            -0.97378
                  96                0.96             2.05361           -0.973522
                  97                0.97             2.04388           -0.973265
                  98                0.98             2.03414           -0.973007
                  99                0.99             2.02441            -0.97275
                 100                   1             2.01469           -0.972492
                 101                1.01             2.00496           -0.972234
                 102                1.02             1.99524           -0.971976
                 103                1.03             1.98552           -0.971717
                 104                1.04              1.9758           -0.971459
                 105                1.05             1.96609           -0.971201
