            Interval              Radial            Vertical
                   0                   0            -2.04741
                   0                   0            -2.04741
                   1           0.0314108            -2.04791
                   2           0.0627905            -2.04939
                   3           0.0941083            -2.05185
                   4            0.125333             -2.0553
                   5            0.156434            -2.05973
                   6            0.187381            -2.06513
                   7            0.218143             -2.0715
                   8             0.24869            -2.07883
                   9            0.278991            -2.08712
                  10            0.309017            -2.09636
                  11            0.338738            -2.10653
                  12            0.368125            -2.11764
                  13            0.397148            -2.12966
                  14            0.425779            -2.14259
                  15             0.45399            -2.15641
                  16            0.481754            -2.17111
                  17            0.509041            -2.18667
                  18            0.535827            -2.20309
                  19            0.562083            -2.22033
                  20            0.587785             -2.2384
                  21            0.612907            -2.25726
                  22            0.637424             -2.2769
                  23            0.661312             -2.2973
                  24            0.684547            -2.31845
                  25            0.707107            -2.34031
                  26            0.728969            -2.36287
                  27            0.750111             -2.3861
                  28            0.770513            -2.40999
                  29            0.790155            -2.43451
                  30            0.809017            -2.45963
                  31            0.827081            -2.48533
                  32            0.844328            -2.51159
                  33            0.860742            -2.53837
                  34            0.876307            -2.56566
                  35            0.891007            -2.59342
                  36            0.904827            -2.62163
                  37            0.917755            -2.65027
                  38            0.929776            -2.67929
                  39            0.940881            -2.70868
                  40            0.951057             -2.7384
                  41            0.960294            -2.76842
                  42            0.968583            -2.79872
                  43            0.975917            -2.82927
                  44            0.982287            -2.86003
                  45            0.987688            -2.89098
                  46            0.992115            -2.92208
                  47            0.995562            -2.95331
                  48            0.998027            -2.98462
                  49            0.999507              -3.016
                  50                   1            -3.04741
                  51            0.999507            -3.07882
                  52            0.998027             -3.1102
                  53            0.995562            -3.14152
                  54            0.992115            -3.17275
                  55            0.987688            -3.20385
                  56            0.982287             -3.2348
                  57            0.975917            -3.26556
                  58            0.968583             -3.2961
                  59            0.960294             -3.3264
                  60            0.951057            -3.35643
                  61            0.940881            -3.38615
                  62            0.929776            -3.41554
                  63            0.917755            -3.44456
                  64            0.904827            -3.47319
                  65            0.891007             -3.5014
                  66            0.876307            -3.52917
                  67            0.860742            -3.55646
                  68            0.844328            -3.58324
                  69            0.827081             -3.6095
                  70            0.809017             -3.6352
                  71            0.790155            -3.66032
                  72            0.770513            -3.68484
                  73            0.750111            -3.70873
                  74            0.728969            -3.73196
                  75            0.707107            -3.75452
                  76            0.684547            -3.77638
                  77            0.661312            -3.79752
                  78            0.637424            -3.81793
                  79            0.612907            -3.83757
                  80            0.587785            -3.85643
                  81            0.562083            -3.87449
                  82            0.535827            -3.89174
                  83            0.509041            -3.90816
                  84            0.481754            -3.92372
                  85             0.45399            -3.93842
                  86            0.425779            -3.95224
                  87            0.397148            -3.96517
                  88            0.368125            -3.97719
                  89            0.338738            -3.98829
                  90            0.309017            -3.99847
                  91            0.278991            -4.00771
                  92             0.24869              -4.016
                  93            0.218143            -4.02333
                  94            0.187381             -4.0297
                  95            0.156434             -4.0351
                  96            0.125333            -4.03953
                  97           0.0941083            -4.04298
                  98           0.0627905            -4.04544
                  99                   0            -4.04741
