#mdr	 bond	 viscos_rat	 regime
1.000000	 0.001000	 10.000000	 film
1.000000	 0.010000	 10.000000	 film
1.000000	 0.100000	 10.000000	 film
1.000000	 1.000000	 10.000000	 film
1.000000	 10.000000	 10.000000	 film
1.000000	 100.000000	 10.000000	 film
1.000000	 1000.000000	 10.000000	 film
10.000000	 0.001000	 10.000000	 film
10.000000	 0.010000	 10.000000	 film
10.000000	 0.100000	 10.000000	 film
10.000000	 1.000000	 10.000000	 film
10.000000	 10.000000	 10.000000	 film
10.000000	 100.000000	 10.000000	 film
10.000000	 1000.000000	 10.000000	 film
100.000000	 0.001000	 10.000000	 film
100.000000	 0.010000	 10.000000	 film
100.000000	 0.100000	 10.000000	 film
100.000000	 1.000000	 10.000000	 film
100.000000	 10.000000	 10.000000	 film
100.000000	 100.000000	 10.000000	 film
100.000000	 1000.000000	 10.000000	 film
1000.000000	 0.001000	 10.000000	 film
1000.000000	 0.010000	 10.000000	 film
1000.000000	 0.100000	 10.000000	 film
1000.000000	 1.000000	 10.000000	 film
1000.000000	 10.000000	 10.000000	 film
1000.000000	 100.000000	 10.000000	 film
1000.000000	 1000.000000	 10.000000	 film
