           iteration                time              height            velocity
                   0                   0                   3            -1.28572
                   1                0.01             2.98714            -1.24732
                   2                0.02             2.97467            -1.21316
                   3                0.03             2.96254            -1.18269
                   4                0.04             2.95071            -1.15546
                   5                0.05             2.93916            -1.13104
                   6                0.06             2.92785            -1.10909
                   7                0.07             2.91676             -1.0893
                   8                0.08             2.90586             -1.0714
                   9                0.09             2.89515            -1.05516
                  10                 0.1              2.8846            -1.04038
                  11                0.11             2.87419            -1.02688
                  12                0.12             2.86392             -1.0145
                  13                0.13             2.85378            -1.00312
                  14                0.14             2.84375           -0.992618
                  15                0.15             2.83382           -0.982894
                  16                0.16             2.82399            -0.97386
                  17                0.17             2.81425           -0.965438
                  18                0.18              2.8046           -0.957561
                  19                0.19             2.79502           -0.950171
                  20                 0.2             2.78552           -0.943216
                  21                0.21             2.77609           -0.936652
                  22                0.22             2.76672           -0.930439
                  23                0.23             2.75742           -0.924543
                  24                0.24             2.74817           -0.918933
                  25                0.25             2.73898           -0.913583
                  26                0.26             2.72985            -0.90847
                  27                0.27             2.72076           -0.903572
                  28                0.28             2.71173           -0.898871
                  29                0.29             2.70274           -0.894352
                  30                 0.3              2.6938           -0.889999
                  31                0.31              2.6849           -0.885801
                  32                0.32             2.67604           -0.881746
                  33                0.33             2.66722           -0.877823
                  34                0.34             2.65844           -0.874024
                  35                0.35              2.6497           -0.870341
                  36                0.36               2.641           -0.866766
                  37                0.37             2.63233           -0.863293
                  38                0.38              2.6237           -0.859915
                  39                0.39              2.6151           -0.856628
                  40                 0.4             2.60653           -0.853427
                  41                0.41               2.598           -0.850306
                  42                0.42              2.5895           -0.847263
                  43                0.43             2.58102           -0.844293
                  44                0.44             2.57258           -0.841392
                  45                0.45             2.56417           -0.838558
                  46                0.46             2.55578           -0.835788
                  47                0.47             2.54742           -0.833078
                  48                0.48             2.53909           -0.830427
                  49                0.49             2.53079           -0.827831
                  50                 0.5             2.52251            -0.82529
                  51                0.51             2.51426             -0.8228
                  52                0.52             2.50603           -0.820359
                  53                0.53             2.49782           -0.817966
                  54                0.54             2.48965           -0.815619
                  55                0.55             2.48149           -0.813317
                  56                0.56             2.47336           -0.811057
                  57                0.57             2.46525           -0.808838
                  58                0.58             2.45716           -0.806659
                  59                0.59             2.44909           -0.804519
                  60                 0.6             2.44104           -0.802415
                  61                0.61             2.43302           -0.800348
                  62                0.62             2.42502           -0.798315
                  63                0.63             2.41703           -0.796315
                  64                0.64             2.40907           -0.794348
                  65                0.65             2.40113           -0.792412
                  66                0.66              2.3932           -0.790506
                  67                0.67              2.3853            -0.78863
                  68                0.68             2.37741           -0.786782
                  69                0.69             2.36954           -0.784962
                  70                 0.7             2.36169           -0.783168
                  71                0.71             2.35386             -0.7814
                  72                0.72             2.34605           -0.779657
                  73                0.73             2.33825           -0.777937
                  74                0.74             2.33047           -0.776242
                  75                0.75             2.32271           -0.774569
                  76                0.76             2.31496           -0.772917
                  77                0.77             2.30724           -0.771287
                  78                0.78             2.29952           -0.769678
                  79                0.79             2.29183           -0.768088
                  80                 0.8             2.28415           -0.766518
                  81                0.81             2.27648           -0.764966
                  82                0.82             2.26883           -0.763433
                  83                0.83              2.2612           -0.761917
                  84                0.84             2.25358           -0.760418
                  85                0.85             2.24597           -0.758935
                  86                0.86             2.23838           -0.757468
                  87                0.87             2.23081           -0.756017
                  88                0.88             2.22325            -0.75458
                  89                0.89              2.2157           -0.753158
                  90                 0.9             2.20817           -0.751751
                  91                0.91             2.20065           -0.750356
                  92                0.92             2.19315           -0.748975
                  93                0.93             2.18566           -0.747606
                  94                0.94             2.17818            -0.74625
                  95                0.95             2.17072           -0.744905
                  96                0.96             2.16327           -0.743573
                  97                0.97             2.15584           -0.742251
                  98                0.98             2.14841            -0.74094
                  99                0.99             2.14101           -0.739639
                 100                   1             2.13361           -0.738349
                 101                1.01             2.12623           -0.737068
                 102                1.02             2.11885           -0.735797
                 103                1.03              2.1115           -0.734535
                 104                1.04             2.10415           -0.733282
                 105                1.05             2.09682           -0.732037
                 106                1.06              2.0895           -0.730801
                 107                1.07             2.08219           -0.729572
                 108                1.08             2.07489           -0.728351
                 109                1.09             2.06761           -0.727138
                 110                 1.1             2.06034           -0.725932
