            Interval              Radial            Vertical
                   0                   0            -1.48995
                   0                   0            -1.48995
                   1           0.0314108            -1.49045
                   2           0.0627905            -1.49193
                   3           0.0941083            -1.49439
                   4            0.125333            -1.49784
                   5            0.156434            -1.50226
                   6            0.187381            -1.50767
                   7            0.218143            -1.51404
                   8             0.24869            -1.52137
                   9            0.278991            -1.52966
                  10            0.309017             -1.5389
                  11            0.338738            -1.54907
                  12            0.368125            -1.56018
                  13            0.397148             -1.5722
                  14            0.425779            -1.58513
                  15             0.45399            -1.59895
                  16            0.481754            -1.61365
                  17            0.509041            -1.62921
                  18            0.535827            -1.64562
                  19            0.562083            -1.66287
                  20            0.587785            -1.68094
                  21            0.612907             -1.6998
                  22            0.637424            -1.71944
                  23            0.661312            -1.73984
                  24            0.684547            -1.76098
                  25            0.707107            -1.78285
                  26            0.728969            -1.80541
                  27            0.750111            -1.82864
                  28            0.770513            -1.85253
                  29            0.790155            -1.87705
                  30            0.809017            -1.90217
                  31            0.827081            -1.92787
                  32            0.844328            -1.95413
                  33            0.860742            -1.98091
                  34            0.876307             -2.0082
                  35            0.891007            -2.03596
                  36            0.904827            -2.06417
                  37            0.917755             -2.0928
                  38            0.929776            -2.12183
                  39            0.940881            -2.15121
                  40            0.951057            -2.18094
                  41            0.960294            -2.21096
                  42            0.968583            -2.24126
                  43            0.975917            -2.27181
                  44            0.982287            -2.30257
                  45            0.987688            -2.33352
                  46            0.992115            -2.36462
                  47            0.995562            -2.39584
                  48            0.998027            -2.42716
                  49            0.999507            -2.45854
                  50                   1            -2.48995
                  51            0.999507            -2.52136
                  52            0.998027            -2.55274
                  53            0.995562            -2.58406
                  54            0.992115            -2.61529
                  55            0.987688            -2.64639
                  56            0.982287            -2.67733
                  57            0.975917             -2.7081
                  58            0.968583            -2.73864
                  59            0.960294            -2.76894
                  60            0.951057            -2.79897
                  61            0.940881            -2.82869
                  62            0.929776            -2.85808
                  63            0.917755             -2.8871
                  64            0.904827            -2.91573
                  65            0.891007            -2.94394
                  66            0.876307            -2.97171
                  67            0.860742            -2.99899
                  68            0.844328            -3.02578
                  69            0.827081            -3.05204
                  70            0.809017            -3.07774
                  71            0.790155            -3.10286
                  72            0.770513            -3.12738
                  73            0.750111            -3.15126
                  74            0.728969             -3.1745
                  75            0.707107            -3.19706
                  76            0.684547            -3.21892
                  77            0.661312            -3.24006
                  78            0.637424            -3.26047
                  79            0.612907            -3.28011
                  80            0.587785            -3.29897
                  81            0.562083            -3.31703
                  82            0.535827            -3.33428
                  83            0.509041            -3.35069
                  84            0.481754            -3.36626
                  85             0.45399            -3.38096
                  86            0.425779            -3.39478
                  87            0.397148            -3.40771
                  88            0.368125            -3.41973
                  89            0.338738            -3.43083
                  90            0.309017            -3.44101
                  91            0.278991            -3.45025
                  92             0.24869            -3.45854
                  93            0.218143            -3.46587
                  94            0.187381            -3.47224
                  95            0.156434            -3.47764
                  96            0.125333            -3.48207
                  97           0.0941083            -3.48551
                  98           0.0627905            -3.48798
                  99                   0            -3.48995
