#mdr	 bond	 viscos_rat	 regime
2.000000	 1.000000	 0.001000	 film
2.000000	 10.000000	 0.001000	 trans
2.000000	 100.000000	 0.001000	 trans
2.000000	 1000.000000	 0.001000	 trans
3.000000	 1.000000	 0.001000	 film
3.000000	 10.000000	 0.001000	 tail
3.000000	 100.000000	 0.001000	 tail
3.000000	 1000.000000	 0.001000	 tail
4.000000	 1.000000	 0.001000	 trans
4.000000	 10.000000	 0.001000	 tail
4.000000	 100.000000	 0.001000	 tail
4.000000	 1000.000000	 0.001000	 tail
5.000000	 1.000000	 0.001000	 tail
5.000000	 10.000000	 0.001000	 tail
5.000000	 100.000000	 0.001000	 tail
5.000000	 1000.000000	 0.001000	 tail
6.000000	 1.000000	 0.001000	 tail
6.000000	 10.000000	 0.001000	 tail
6.000000	 100.000000	 0.001000	 tail
6.000000	 1000.000000	 0.001000	 tail
7.000000	 1.000000	 0.001000	 tail
7.000000	 10.000000	 0.001000	 tail
7.000000	 100.000000	 0.001000	 tail
7.000000	 1000.000000	 0.001000	 tail
8.000000	 1.000000	 0.001000	 tail
8.000000	 10.000000	 0.001000	 tail
8.000000	 100.000000	 0.001000	 tail
8.000000	 1000.000000	 0.001000	 tail
9.000000	 1.000000	 0.001000	 tail
9.000000	 10.000000	 0.001000	 tail
9.000000	 100.000000	 0.001000	 tail
9.000000	 1000.000000	 0.001000	 tail
