           iteration                time              height            velocity
                   0                   0                   3            -1.34809
                   1              0.0006             2.99919            -1.34375
                   2              0.0012             2.99838            -1.33946
                   3              0.0018             2.99758             -1.3352
                   4              0.0024             2.99678            -1.33098
                   5               0.003             2.99598            -1.32681
                   6              0.0036             2.99519            -1.32268
                   7              0.0042             2.99439            -1.31858
                   8              0.0048              2.9936            -1.31453
                   9              0.0054             2.99281            -1.31051
                  10               0.006             2.99203            -1.30653
                  11              0.0066             2.99124            -1.30259
                  12              0.0072             2.99046            -1.29868
                  13              0.0078             2.98968            -1.29482
                  14              0.0084              2.9889            -1.29098
                  15               0.009             2.98813            -1.28719
                  16              0.0096             2.98736            -1.28343
                  17              0.0102             2.98659             -1.2797
                  18              0.0108             2.98582            -1.27601
                  19              0.0114             2.98505            -1.27235
                  20               0.012             2.98429            -1.26873
                  21              0.0126             2.98353            -1.26513
                  22              0.0132             2.98277            -1.26157
                  23              0.0138             2.98201            -1.25805
                  24              0.0144             2.98126            -1.25455
                  25               0.015             2.98051            -1.25109
                  26              0.0156             2.97975            -1.24765
                  27              0.0162             2.97901            -1.24425
                  28              0.0168             2.97826            -1.24088
                  29              0.0174             2.97752            -1.23754
                  30               0.018             2.97677            -1.23422
                  31              0.0186             2.97603            -1.23094
                  32              0.0192             2.97529            -1.22768
                  33              0.0198             2.97456            -1.22446
                  34              0.0204             2.97382            -1.22126
                  35               0.021             2.97309            -1.21809
                  36              0.0216             2.97236            -1.21494
                  37              0.0222             2.97163            -1.21183
                  38              0.0228              2.9709            -1.20874
                  39              0.0234             2.97018            -1.20567
                  40               0.024             2.96945            -1.20263
                  41              0.0246             2.96873            -1.19962
                  42              0.0252             2.96801            -1.19664
                  43              0.0258             2.96729            -1.19368
                  44              0.0264             2.96658            -1.19074
                  45               0.027             2.96586            -1.18783
                  46              0.0276             2.96515            -1.18494
                  47              0.0282             2.96444            -1.18208
                  48              0.0288             2.96373            -1.17924
                  49              0.0294             2.96302            -1.17642
                  50                0.03             2.96232            -1.17363
                  51              0.0306             2.96161            -1.17086
                  52              0.0312             2.96091            -1.16812
                  53              0.0318             2.96021            -1.16539
                  54              0.0324             2.95951            -1.16269
                  55               0.033             2.95881            -1.16001
                  56              0.0336             2.95812            -1.15735
                  57              0.0342             2.95742            -1.15472
                  58              0.0348             2.95673             -1.1521
                  59              0.0354             2.95604            -1.14951
                  60               0.036             2.95535            -1.14693
                  61              0.0366             2.95466            -1.14438
                  62              0.0372             2.95397            -1.14185
                  63              0.0378             2.95329            -1.13934
                  64              0.0384             2.95261            -1.13684
                  65               0.039             2.95192            -1.13437
                  66              0.0396             2.95124            -1.13192
                  67              0.0402             2.95056            -1.12948
                  68              0.0408             2.94989            -1.12707
                  69              0.0414             2.94921            -1.12467
                  70               0.042             2.94853            -1.12229
                  71              0.0426             2.94786            -1.11994
