           iteration                time              height            velocity
                   0                   0                   3           -0.997705
                   1                0.01             2.99002           -0.997511
                   2                0.02             2.98005           -0.997316
                   3                0.03             2.97007           -0.997121
                   4                0.04              2.9601           -0.996925
                   5                0.05             2.95013           -0.996728
                   6                0.06             2.94017            -0.99653
                   7                0.07              2.9302           -0.996332
                   8                0.08             2.92024           -0.996132
                   9                0.09             2.91028           -0.995932
                  10                 0.1             2.90032           -0.995731
                  11                0.11             2.89036           -0.995529
                  12                0.12             2.88041           -0.995326
                  13                0.13             2.87045           -0.995123
                  14                0.14              2.8605           -0.994918
                  15                0.15             2.85055           -0.994713
                  16                0.16              2.8406           -0.994507
                  17                0.17             2.83066             -0.9943
                  18                0.18             2.82072           -0.994092
                  19                0.19             2.81078           -0.993883
                  20                 0.2             2.80084           -0.993674
                  21                0.21              2.7909           -0.993463
                  22                0.22             2.78097           -0.993252
                  23                0.23             2.77103            -0.99304
                  24                0.24              2.7611           -0.992827
                  25                0.25             2.75117           -0.992613
                  26                0.26             2.74125           -0.992398
                  27                0.27             2.73132           -0.992183
                  28                0.28              2.7214           -0.991966
                  29                0.29             2.71148           -0.991748
                  30                 0.3             2.70156            -0.99153
                  31                0.31             2.69165           -0.991311
                  32                0.32             2.68174           -0.991091
                  33                0.33             2.67183            -0.99087
                  34                0.34             2.66192           -0.990648
                  35                0.35             2.65201           -0.990425
                  36                0.36             2.64211           -0.990201
                  37                0.37              2.6322           -0.989976
                  38                0.38              2.6223           -0.989751
                  39                0.39             2.61241           -0.989524
                  40                 0.4             2.60251           -0.989297
                  41                0.41             2.59262           -0.989068
                  42                0.42             2.58273           -0.988839
                  43                0.43             2.57284           -0.988609
                  44                0.44             2.56295           -0.988377
                  45                0.45             2.55307           -0.988145
                  46                0.46             2.54319           -0.987912
                  47                0.47             2.53331           -0.987678
                  48                0.48             2.52343           -0.987443
                  49                0.49             2.51356           -0.987207
                  50                 0.5             2.50369            -0.98697
                  51                0.51             2.49382           -0.986732
                  52                0.52             2.48395           -0.986494
                  53                0.53             2.47408           -0.986254
                  54                0.54             2.46422           -0.986013
                  55                0.55             2.45436           -0.985771
                  56                0.56              2.4445           -0.985529
                  57                0.57             2.43465           -0.985285
                  58                0.58              2.4248            -0.98504
                  59                0.59             2.41494           -0.984795
                  60                 0.6              2.4051           -0.984548
                  61                0.61             2.39525             -0.9843
                  62                0.62             2.38541           -0.984052
                  63                0.63             2.37557           -0.983802
                  64                0.64             2.36573           -0.983552
                  65                0.65             2.35589             -0.9833
                  66                0.66             2.34606           -0.983047
                  67                0.67             2.33623           -0.982794
                  68                0.68              2.3264           -0.982539
                  69                0.69             2.31658           -0.982283
                  70                 0.7             2.30675           -0.982027
                  71                0.71             2.29693           -0.981769
                  72                0.72             2.28712            -0.98151
                  73                0.73              2.2773           -0.981251
                  74                0.74             2.26749            -0.98099
                  75                0.75             2.25768           -0.980728
                  76                0.76             2.24787           -0.980465
                  77                0.77             2.23807           -0.980201
                  78                0.78             2.22827           -0.979936
                  79                0.79             2.21847            -0.97967
                  80                 0.8             2.20867           -0.979404
                  81                0.81             2.19888           -0.979135
                  82                0.82             2.18908           -0.978866
                  83                0.83              2.1793           -0.978596
                  84                0.84             2.16951           -0.978325
                  85                0.85             2.15973           -0.978053
                  86                0.86             2.14995           -0.977779
                  87                0.87             2.14017           -0.977505
                  88                0.88             2.13039            -0.97723
                  89                0.89             2.12062           -0.976953
                  90                 0.9             2.11085           -0.976675
                  91                0.91             2.10108           -0.976397
                  92                0.92             2.09132           -0.976117
                  93                0.93             2.08156           -0.975836
                  94                0.94              2.0718           -0.975554
                  95                0.95             2.06205           -0.975271
                  96                0.96             2.05229           -0.974987
                  97                0.97             2.04254           -0.974702
                  98                0.98              2.0328           -0.974416
                  99                0.99             2.02305           -0.974128
                 100                   1             2.01331            -0.97384
                 101                1.01             2.00357            -0.97355
                 102                1.02             1.99384            -0.97326
                 103                1.03              1.9841           -0.972968
                 104                1.04             1.97437           -0.972675
                 105                1.05             1.96465           -0.972381
                 106                1.06             1.95492           -0.972086
                 107                1.07              1.9452           -0.971789
                 108                1.08             1.93548           -0.971492
                 109                1.09             1.92577           -0.971194
                 110                 1.1             1.91606           -0.970894
                 111                1.11             1.90635           -0.970593
                 112                1.12             1.89664           -0.970291
                 113                1.13             1.88694           -0.969988
                 114                1.14             1.87724           -0.969684
                 115                1.15             1.86754           -0.969379
                 116                1.16             1.85785           -0.969073
                 117                1.17             1.84816           -0.968765
                 118                1.18             1.83847           -0.968456
                 119                1.19             1.82879           -0.968147
                 120                 1.2              1.8191           -0.967836
                 121                1.21             1.80943           -0.967523
                 122                1.22             1.79975            -0.96721
                 123                1.23             1.79008           -0.966896
                 124                1.24             1.78041            -0.96658
                 125                1.25             1.77074           -0.966263
                 126                1.26             1.76108           -0.965945
                 127                1.27             1.75142           -0.965626
                 128                1.28             1.74177           -0.965306
                 129                1.29             1.73211           -0.964985
                 130                 1.3             1.72246           -0.964662
                 131                1.31             1.71282           -0.964338
                 132                1.32             1.70317           -0.964014
                 133                1.33             1.69353           -0.963687
                 134                1.34              1.6839            -0.96336
                 135                1.35             1.67426           -0.963032
                 136                1.36             1.66463           -0.962702
                 137                1.37             1.65501           -0.962371
                 138                1.38             1.64538           -0.962039
                 139                1.39             1.63576           -0.961706
                 140                 1.4             1.62614           -0.961372
                 141                1.41             1.61653           -0.961036
                 142                1.42             1.60692             -0.9607
                 143                1.43             1.59731           -0.960362
                 144                1.44             1.58771           -0.960023
                 145                1.45             1.57811           -0.959683
                 146                1.46             1.56851           -0.959341
                 147                1.47             1.55892           -0.958998
                 148                1.48             1.54933           -0.958655
                 149                1.49             1.53974            -0.95831
                 150                 1.5             1.53016           -0.957963
                 151                1.51             1.52058           -0.957616
                 152                1.52               1.511           -0.957267
                 153                1.53             1.50143           -0.956917
                 154                1.54             1.49186           -0.956566
                 155                1.55              1.4823           -0.956214
                 156                1.56             1.47273           -0.955861
                 157                1.57             1.46318           -0.955506
                 158                1.58             1.45362            -0.95515
                 159                1.59             1.44407           -0.954793
                 160                 1.6             1.43452           -0.954435
                 161                1.61             1.42498           -0.954075
                 162                1.62             1.41544           -0.953714
                 163                1.63              1.4059           -0.953352
                 164                1.64             1.39637           -0.952989
                 165                1.65             1.38684           -0.952625
                 166                1.66             1.37731           -0.952259
                 167                1.67             1.36779           -0.951893
                 168                1.68             1.35827           -0.951525
                 169                1.69             1.34875           -0.951155
                 170                 1.7             1.33924           -0.950785
                 171                1.71             1.32973           -0.950413
                 172                1.72             1.32023           -0.950041
                 173                1.73             1.31073           -0.949666
                 174                1.74             1.30123           -0.949291
                 175                1.75             1.29174           -0.948915
                 176                1.76             1.28225           -0.948537
                 177                1.77             1.27276           -0.948158
                 178                1.78             1.26328           -0.947778
                 179                1.79              1.2538           -0.947396
                 180                 1.8             1.24433           -0.947014
                 181                1.81             1.23486            -0.94663
                 182                1.82             1.22539           -0.946245
                 183                1.83             1.21593           -0.945859
                 184                1.84             1.20647           -0.945471
                 185                1.85             1.19702           -0.945083
                 186                1.86             1.18757           -0.944693
                 187                1.87             1.17812           -0.944302
                 188                1.88             1.16868           -0.943909
                 189                1.89             1.15924           -0.943516
                 190                 1.9              1.1498           -0.943121
                 191                1.91             1.14037           -0.942725
                 192                1.92             1.13095           -0.942328
                 193                1.93             1.12152           -0.941929
                 194                1.94              1.1121            -0.94153
                 195                1.95             1.10269           -0.941129
                 196                1.96             1.09328           -0.940727
                 197                1.97             1.08387           -0.940324
                 198                1.98             1.07447           -0.939919
                 199                1.99             1.06507           -0.939514
                 200                   2             1.05567           -0.939107
                 201                2.01             1.04628           -0.938699
                 202                2.02             1.03689           -0.938289
                 203                2.03             1.02751           -0.937879
