            Interval              Radial            Vertical
                   0                   0            -9.96581
                   0                   0            -9.96581
                   1           0.0314108            -9.96631
                   2           0.0627905            -9.96779
                   3           0.0941083            -9.97025
                   4            0.125333             -9.9737
                   5            0.156434            -9.97813
                   6            0.187381            -9.98353
                   7            0.218143             -9.9899
                   8             0.24869            -9.99723
                   9            0.278991            -10.0055
                  10            0.309017            -10.0148
                  11            0.338738            -10.0249
                  12            0.368125             -10.036
                  13            0.397148            -10.0481
                  14            0.425779             -10.061
                  15             0.45399            -10.0748
                  16            0.481754            -10.0895
                  17            0.509041            -10.1051
                  18            0.535827            -10.1215
                  19            0.562083            -10.1387
                  20            0.587785            -10.1568
                  21            0.612907            -10.1757
                  22            0.637424            -10.1953
                  23            0.661312            -10.2157
                  24            0.684547            -10.2368
                  25            0.707107            -10.2587
                  26            0.728969            -10.2813
                  27            0.750111            -10.3045
                  28            0.770513            -10.3284
                  29            0.790155            -10.3529
                  30            0.809017             -10.378
                  31            0.827081            -10.4037
                  32            0.844328              -10.43
                  33            0.860742            -10.4568
                  34            0.876307            -10.4841
                  35            0.891007            -10.5118
                  36            0.904827              -10.54
                  37            0.917755            -10.5687
                  38            0.929776            -10.5977
                  39            0.940881            -10.6271
                  40            0.951057            -10.6568
                  41            0.960294            -10.6868
                  42            0.968583            -10.7171
                  43            0.975917            -10.7477
                  44            0.982287            -10.7784
                  45            0.987688            -10.8094
                  46            0.992115            -10.8405
                  47            0.995562            -10.8717
                  48            0.998027             -10.903
                  49            0.999507            -10.9344
                  50                   1            -10.9658
                  51            0.999507            -10.9972
                  52            0.998027            -11.0286
                  53            0.995562            -11.0599
                  54            0.992115            -11.0911
                  55            0.987688            -11.1222
                  56            0.982287            -11.1532
                  57            0.975917             -11.184
                  58            0.968583            -11.2145
                  59            0.960294            -11.2448
                  60            0.951057            -11.2748
                  61            0.940881            -11.3046
                  62            0.929776            -11.3339
                  63            0.917755             -11.363
                  64            0.904827            -11.3916
                  65            0.891007            -11.4198
                  66            0.876307            -11.4476
                  67            0.860742            -11.4749
                  68            0.844328            -11.5016
                  69            0.827081            -11.5279
                  70            0.809017            -11.5536
                  71            0.790155            -11.5787
                  72            0.770513            -11.6032
                  73            0.750111            -11.6271
                  74            0.728969            -11.6504
                  75            0.707107            -11.6729
                  76            0.684547            -11.6948
                  77            0.661312            -11.7159
                  78            0.637424            -11.7363
                  79            0.612907             -11.756
                  80            0.587785            -11.7748
                  81            0.562083            -11.7929
                  82            0.535827            -11.8101
                  83            0.509041            -11.8266
                  84            0.481754            -11.8421
                  85             0.45399            -11.8568
                  86            0.425779            -11.8706
                  87            0.397148            -11.8836
                  88            0.368125            -11.8956
                  89            0.338738            -11.9067
                  90            0.309017            -11.9169
                  91            0.278991            -11.9261
                  92             0.24869            -11.9344
                  93            0.218143            -11.9417
                  94            0.187381            -11.9481
                  95            0.156434            -11.9535
                  96            0.125333            -11.9579
                  97           0.0941083            -11.9614
                  98           0.0627905            -11.9638
                  99                   0            -11.9658
